h_m,tau_s,X_db,T_a_c,T_p_c,Y_kg_kg_da,dX_dh_current,dY_dh_current,dT_p_dh_current,dT_p_dh_matlab_like,dT_p_dh_delta,dH_h_dh_current,dH_h_dh_matlab_like,dT_a_dh_current,dT_a_dh_matlab_like,h_fg_current_j_kg,h_fg_particle_j_kg,q_sorption_j_kg
0.23529411764705882,0.04705882352941177,0.5270065728276815,143.5905431748389,93.7817876651581,0.01674331985981452,-2.242957757140479,0.025457211993856293,98.41707239157344,98.41707239157344,0.0,-51733.33047975388,-51733.33047975388,-117.8585628782566,-121.67595706181578,2129624.2195750126,2271479.3607524945,0.0
0.25210084033613445,0.05042016806722689,0.4907539440025096,141.6650587739972,95.37015031751366,0.01715478140178915,-2.07357847075025,0.023534784169579576,90.59843672838545,90.59843672838569,-2.4158453015843406e-13,-50506.92318796004,-50506.923187960056,-111.36870125289511,-115.02640181025008,2135424.232455296,2267218.4188673506,0.0
0.2689075630252101,0.05378151260504201,0.457230556978949,139.84413875646396,96.82771272149535,0.017535266485600488,-1.9178715554122832,0.021767535571138943,82.88768085237484,82.88768085237484,0.0,-49362.62996180529,-49362.62996180529,-105.40484133470318,-108.89974855008195,2140885.8736390923,2263293.1338311024,0.0
0.2857142857142857,0.057142857142857134,0.426217095579935,138.119337001497,98.1571655640999,0.01788726431479925,-1.7746853934034734,0.020142395521469868,75.36752041900566,75.36752041900593,-2.7000623958883807e-13,-48295.982043229335,-48295.98204322935,-99.92243353511392,-103.25397712783129,2146038.2423570175,2259700.145096331,0.0
0.3025210084033613,0.060504201680672255,0.3975126248950825,136.48292313852312,99.36244897926451,0.018213055468497715,-1.642950229020784,0.018647222464349474,68.11523672581171,68.11523672581171,0.0,-47302.59545100914,-47302.59545100914,-94.88034572923536,-98.04988147402477,2150907.710501628,2256432.2586325826,0.0
0.31932773109243695,0.06386554621848739,0.37093293157456597,134.92782020401364,100.44851314257687,0.01851473073876884,-1.521692745100829,0.017270969405563677,61.18692925524363,61.18692925524391,-2.7711166694643907e-13,-46377.67090982169,-46377.670909821696,-90.24068853520029,-93.2510442106727,2155518.1985827223,2253479.075750547,0.0
0.3361344537815126,0.06722689075630252,0.34630926774326776,133.44755779501236,101.42104718645572,0.0187942053870199,-1.4100358241509001,0.01600368120178251,54.612418507570275,54.612418507570126,1.4921397450962104e-13,-45515.95187126421,-45515.9518712642,-85.96865214458785,-88.82377855664886,2159891.3919160995,2250827.732441239,0.0
0.3529411764705882,0.07058823529411765,0.32348711428090765,132.03622900311046,102.2861620086669,0.01905323318056529,-1.30718185136603,0.014836305052472902,48.405342394698955,48.405342394698955,0.0,-44712.175521405494,-44712.175521405494,-82.03233839478791,-84.73701605522879,2164046.934363502,2248463.7847973863,0.0
0.36974789915966383,0.07394957983193277,0.30232484250962705,130.68844168373823,103.0501358174622,0.01929342158225856,-1.2123969889123667,0.01376051201552883,42.573994617963386,42.573994617963386,0.0,-43961.45028330661,-43961.45028330661,-78.40256776279756,-80.96215450169304,2168002.628983885,2246371.9385606716,0.0
0.38655462184873945,0.0773109243697479,0.28269257014551297,129.39927206023185,103.71928947116493,0.019516244735259685,-1.1250092875104136,0.012768675574042964,37.11974311844996,37.11974311845012,-1.5631940186722204e-13,-43259.179753641016,-43259.17975364102,-75.05268034054089,-77.47291531907302,2171774.6230941196,2244536.431266116,0.0
0.40336134453781514,0.08067226890756304,0.2644712027029954,128.16422463720545,104.2998961124004,0.019723054342941953,-1.044407324675861,0.011853856180557783,32.03459107004638,32.03459107004622,1.6342482922482304e-13,-42600.97020832063,-42600.97020832063,-71.95834724330729,-74.24520348127547,2175377.5674042134,2242941.322043868,0.0
0.42016806722689076,0.08403361344537817,0.2475514283244511,126.97919197445515,104.79806800895597,0.019915091077415254,-0.9700308086404784,0.011009694613069736,27.30695102129985,27.30695102129985,0.0,-41982.783266564475,-41982.783266564475,-69.09738532183364,-71.2569455391382,2178824.76925754,2241570.843675428,0.0
0.4369747899159664,0.0873949579831933,0.23183305352184613,125.84042677859884,105.21969476415558,0.020093492118752273,-0.9013680779626767,0.0102303835960088,22.92160807834749,22.92160807834749,0.0,-41400.900844444994,-41400.900844444994,-66.44960684207925,-68.4879699395508,2182128.3046483025,2240409.611946129,0.0
0.453781512605042,0.09075630252100843,0.217224007048906,124.74450142451138,105.57039355360098,0.020259302460880105,-0.8379487435108165,0.009510584287925282,18.8635827826069,18.863582782606812,8.881784197001252e-14,-40851.992995279616,-40851.992995279616,-63.996628356072925,-65.91983046904492,2185299.1622470366,2239442.798859081,0.0
0.47058823529411764,0.09411764705882356,0.20363978409868555,123.68828360790866,105.85550519504841,0.020413481219848994,-0.7793442874150707,0.008845433079497684,15.114517703734153,15.114517703734062,9.059419880941277e-14,-40332.979414686226,-40332.979414686226,-61.721725793595816,-63.53568848416681,2188347.3365772674,2238656.1758880247,0.0
0.48739495798319327,0.09747899159663868,0.19100280402771228,122.66891009206483,106.08006704431511,0.02055690892356065,-0.7251630313772244,0.008230484484653295,11.655135294744616,11.655135294744616,0.0,-39841.06550783887,-39841.06550783887,-59.60969297731702,-61.32018219554023,2191281.923503677,2238036.217208915,0.0
0.5042016806722689,0.1008403361344538,0.1792418032906849,121.68376195349356,106.24879887064355,0.02069039440186235,-0.6750457789458534,0.007661661681088067,8.467264407434628,8.467264407434818,-1.900701818158268e-13,-39373.76109529516,-39373.761095295165,-57.646707743023654,-59.25930141162098,2194111.2085337075,2237570.1635359065,0.0
0.5210084033613445,0.10420168067226891,0.16829128632459897,120.73044168799026,106.36611124224402,0.020814681018924353,-0.6286636453060016,0.007135231878726378,5.5333244818205225,5.5333244818205225,0.0,-38928.83261751314,-38928.83261751314,-55.820202943236396,-57.34026933173615,2196842.7472888827,2237246.0202861875,0.0
0.5378151260504201,0.10756302521008404,0.15809103516251322,119.80675295409651,106.4361191906221,0.020930452239045258,-0.5857161927206512,0.006647785157279773,2.8355261097694364,2.8355261097692384,1.9806378759312793e-13,-38504.254383767526,-38504.25438376752,-54.118748420418186,-55.551433717512076,2199483.4362830063,2237052.5378735643,0.0
0.5546218487394958,0.11092436974789917,0.14858566591955097,118.91068264284473,106.46264846369536,0.021038336660464976,-0.545928574471758,0.006196202050434279,0.3566421833255067,0.3566421833256075,-1.0080825063596421e-13,-38098.20347194648,-38098.20347194648,-52.53194769275767,-53.88216836963047,2202039.5752380444,2236979.2095892886,0.0
0.5714285714285714,0.11428571428571427,0.13972422060929035,118.04038451723244,106.44924468552205,0.021138912648183475,-0.5090489339012366,0.00577762402538136,-1.919290576633797,-1.919290576633797,0.0,-37709.05367715396,-37709.05367715396,-51.050343392886724,-52.32278216530952,2204516.923377364,2237016.2589295576,0.0
0.5882352941176471,0.1176470588235294,0.13145979348240214,117.1941641194208,106.39918989501967,0.021232712574957482,-0.4748466363972158,0.005389433416144546,-4.007241882486647,-4.007241882486647,0.0,-37335.34780586913,-37335.34780586913,-49.66532844497127,-50.86443439120173,2206920.7507759263,2237154.604320415,0.0
0.6050420168067226,0.12100840336134451,0.12374918618069804,116.37046502998191,106.31552061241263,0.02132022673524693,-0.4431106887149486,0.005029235483124442,-5.921590065170683,-5.921590065170683,0.0,-36975.77019307341,-36975.77019307341,-48.3690644526083,-49.49905653952601,2209255.884712498,2237385.8177275965,0.0
0.6218487394957983,0.12436974789915964,0.11655259543684725,115.5678565478446,106.20104125753073,0.021401906889773246,-0.413647816957085,0.004694836598482069,-7.675790370276288,-7.675790370276395,1.0746958878371515e-13,-36629.138895836266,-36629.138895836266,-47.154410046235206,-48.219282143630664,2211526.750995258,2237702.0945129124,0.0
0.6386554621848739,0.12773109243697475,0.10983332867182362,114.78502259701958,106.05833860148954,0.021478169493442854,-0.3862808189997915,0.004384225546438694,-9.282224500704578,-9.282224500704578,0.0,-36294.39507024537,-36294.39507024537,-46.014855744421084,-47.01838288538776,2213737.410956766,2238096.219081148,0.0
0.6554621848739496,0.1310924369747899,0.10355754586890428,114.02075165185909,105.88979764253719,0.02154939862503604,-0.36084725383397037,0.004095558647508187,-10.752371561471907,-10.752371561471907,0.0,-35970.58672242395,-35970.58672242395,-44.944464310133704,-45.89021028196073,2215891.5948297996,2238561.5254618423,0.0
0.6722689075630252,0.134453781512605,0.09769402162791883,113.27392755883022,105.69761711017793,0.021615948687853177,-0.33719824167864226,0.003827146139975721,-12.09699824873612,-12.09699824873612,0.0,-35656.853851461274,-35656.853851461274,-43.93781647352635,-44.8291423749355,2217992.7319509145,2239091.8579864656,0.0
0.6890756302521008,0.13781512605042015,0.09221392781767458,112.54352121942293,105.48382250468188,0.02167814687657496,-0.31519719442970023,0.0035774377706940756,-13.326059321936151,-13.326059321936265,1.1368683772161603e-13,-35352.42139680741,-35352.42139680741,-42.989962716229925,-43.830035730635466,2220043.977979406,2239681.5380015923,0.0
0.7058823529411764,0.14117647058823526,0.08709063650512482,111.82858307186495,105.25027865697575,0.02173629541398484,-0.2947186947186089,0.0033450100725790615,-14.448654500685329,-14.448654500685329,0.0,-35056.59194996999,-35056.59194996999,-42.096379789253135,-42.888182065535034,2222048.2393841106,2240325.3312701522,0.0
0.7226890756302521,0.1445378151260504,0.08229954000164318,111.12823627821945,104.99870276738812,0.021790673593415043,-0.2756475947774908,0.003128556136872301,-15.473195922859814,-15.473195922859814,0.0,-34768.734987265234,-34768.734987265234,-41.25293087287403,-41.99926867707702,2224008.1955270353,2241018.413539239,0.0
0.7394957983193277,0.1478991596638656,0.07800461872826447,110.45432336526449,104.36802831343294,0.021839420263300043,-0.22360839237574498,0.0025379195083780684,-32.54106360657157,-32.54106360657151,-5.684341886080802e-14,-34158.54411158473,-34158.544111584735,-39.135151164819455,-41.276770567667384,2225890.998479046,2242753.98983315,633000.0
0.7563025210084033,0.15126050420168077,0.07443817140835556,109.80066467230745,104.00314094847357,0.021879898870263915,-0.20449503355345613,0.0023209859411253454,-18.287520231218217,-18.287520231218217,0.0,-34205.41199087065,-34205.41199087065,-38.6127954569776,-40.575244257202876,2227714.2379571707,2243756.8908236083,633000.0
0.7731092436974789,0.15462184873949583,0.07109923533290372,109.15659619320627,103.69593142067419,0.021917795260972168,-0.19305108132580223,0.0021910989127230077,-18.47408834401075,-18.47408834401075,0.0,-33956.48154548739,-33956.48154548739,-38.03429215555241,-39.89053563836211,2229507.860728662,2244600.55479557,633000.0
