scenario,h_m,section,T_a_c,T_p_c,X_db,Y_kg_kg_da,RH_a_pct,dX_dh,dY_dh,dT_p_dh,dH_h_dh_model,dH_h_dh_sensible_only,dH_particle_sensible_dh,dH_particle_liquid_dh,dH_q_loss_dh,dT_a_dh_model,dT_a_dh_sensible_only,cp_air_j_kg_da_k,liquid_term_share_of_dH_pct
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.3686520376175549,cylinder,92.04351409641487,92.0424911235483,0.02274944752232699,0.040657688615600485,7.620599412280173,-0.0005822626015367825,1.2116143502365986e-05,0.015471729401324295,4.154648088912305,-0.5135792398832074,-0.5135792398832074,4.6682273287955125,-0.0,-0.026079051235074195,-0.030380893501440135,1085.1693390281089,112.36155816069764
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.38181818181818183,cylinder,92.04324849286706,92.04264936364575,0.0227435175063773,0.04065781201168333,7.620696059934827,-0.00034101396456050914,7.096066482753258e-06,0.009065925791894908,2.4331113168984686,-0.30093590083301064,-0.30093590083301064,2.7340472177314794,-0.0,-0.015273853207299742,-0.01779331862101872,1085.169577182549,112.36835728570853
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.39498432601880884,cylinder,92.04309329508828,92.04274183841937,0.022740052410631074,0.04065788411591465,7.620752534025257,-0.00020006913596429775,4.163184026141976e-06,0.005270618344820075,1.429084770966332,-0.17495222150292428,-0.17495222150292428,1.6040369924692566,-0.0,-0.00895951991649594,-0.010437663812617343,1085.1697163437152,112.24225637675951
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.4081504702194358,cylinder,92.04300262415313,92.04279592532635,0.02273802720059987,0.04065792625795726,7.6207855309294175,-0.00011771043632115023,2.4494043313600563e-06,0.0030164189134367814,0.8436077103878512,-0.10012608593194215,-0.10012608593194215,0.9437337963197935,-0.0,-0.005268734953852794,-0.006138399589137778,1085.1697976778576,111.86879691816816
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.42131661442006274,cylinder,92.04294929114633,92.04282777677082,0.022736835252939017,0.040657951060870695,7.6208049425131925,-6.920558419952116e-05,1.4400801066621496e-06,0.0017626853164131964,0.49634044965033114,-0.05850985373376085,-0.05850985373376085,0.5548503033840919,-0.0,-0.0030973214985208874,-0.0036086242274537615,1085.1698455474805,111.7882501365707
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.4344827586206897,cylinder,92.04291782379596,92.0428465560073,0.022736132098316184,0.04065796569262326,7.620816395273143,-4.057448045425084e-05,8.443032858715922e-07,0.0010600186183449794,0.2901169991112226,-0.0351857585102317,-0.0351857585102317,0.32530275762145433,-0.0,-0.0018167385519435423,-0.002116509827832626,1085.169873786763,112.12812714112715
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.44764890282131664,cylinder,92.04289940647078,92.04285753082831,0.02273572086505934,0.04065797424986383,7.620823097253513,-2.3844095927977002e-05,4.961652820996088e-07,0.0006168712399806869,0.17069210581918956,-0.020476111158159577,-0.020476111158159577,0.19116821697734915,-0.0,-0.0010674434141435829,-0.00124360773521971,1085.1698903022373,111.995933297495
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.46081504702194365,cylinder,92.04288872915038,92.04286389874682,0.02273548241473318,0.04065797921171157,7.62082698283308,-1.4150661617416821e-05,2.944572540938192e-07,0.0003435874823120405,0.10204699446027898,-0.011404861536980898,-0.011404861536980898,0.11345185599725989,-0.0,-0.0006328030310406662,-0.000737350582543847,1085.1698998786035,111.17608764207176
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.4739811912225706,cylinder,92.04288246202606,92.04286766008937,0.02273534210491447,0.04065798213138028,7.620829264781488,-8.446318098851369e-06,1.7575712725188562e-07,0.0001851149484228289,0.06157311172765189,-0.0061446056289363666,-0.0061446056289363666,0.06771771735658827,-0.0,-0.00037709988378666006,-0.0004395027545376144,1085.169905513564,109.97936511007434
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.48714733542319755,cylinder,92.0428786879404,92.04286994054883,0.02273525735189951,0.040657983894982624,7.620830639923952,-4.994223580419256e-06,1.039234349304799e-07,0.00010435321432533841,0.036576967833183434,-0.0034638434712866762,-0.0034638434712866762,0.04004081130447012,-0.0,-0.0002228192896995091,-0.00025971748506544877,1085.1699089173164,109.47001262402131
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.5003134796238246,cylinder,92.04287641660261,92.04287130626165,0.022735206401799102,0.04065798495518936,7.620831467312383,-2.9105130954591504e-06,6.056407235674195e-08,7.405485760019825e-05,0.020876683743334647,-0.002458136075419159,-0.002458136075419159,0.023334819818753808,-0.0,-0.00013025870718245494,-0.00015176208613076634,1085.1699109635156,111.77455244156762
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.5134796238244514,cylinder,92.04287509894584,92.0428720880883,0.022735177020518107,0.04065798556657641,7.620831946655427,-1.713353051900838e-06,3.565269586653313e-08,4.624385143243488e-05,0.012201686568588797,-0.001534992766060916,-0.001534992766060916,0.013736679334649716,-0.0,-7.676138802075725e-05,-8.941993962722063e-05,1085.1699121434926,112.58016879414441
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.5266457680250785,cylinder,92.04287434909565,92.04287253183378,0.022735160338870807,0.04065798591370025,7.620832219297916,-1.037898960089645e-06,2.1597356086776185e-08,2.1033698466651477e-05,0.007623096059342267,-0.0006981808948942672,-0.0006981808948942672,0.008321276954236536,-0.0,-4.628630465556961e-05,-5.395448348727216e-05,1085.1699128134414,109.15875766826568
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.5398119122257053,cylinder,92.04287389967135,92.04287280318732,0.02273515024981731,0.04065798612364061,7.620832383039465,-6.270451360954969e-07,1.304801103718785e-08,1.1220346665197095e-05,0.004654845354797927,-0.0003724419402868034,-0.0003724419402868034,0.005027287295084729,-0.0,-2.7918314356880254e-05,-3.255103337520775e-05,1085.1699132186263,108.00116678211259
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.5529780564263324,cylinder,92.04287361447876,92.04287297903767,0.022735143787438166,0.040657986258114495,7.620832487165597,-3.626002741275976e-07,7.545250104904229e-09,7.940914980748488e-06,0.002643534170141419,-0.0002635863063038068,-0.0002635863063038068,0.0029071204764452253,-0.0,-1.6188704711119505e-05,-1.8867658891785453e-05,1085.169913478161,109.9709816230484
